videoArchiveName,General Location,Deployment ID,Camera  type,Platform,Camera orientation,Depth,"Lat ",Long,Notes,,
Tripod Pulse 68 Near Dual-4,Station M,Pulse 68,Digital,Tripod Dual,Near field,,35.14966833,-122.971025,,,
Tripod Pulse 68 Near Dual-5,Station M,Pulse 68,Digital,Tripod Dual,Near field,,35.14966833,-122.971025,,,
SES Pulse 68-Autolevels,Station M,Pulse 68,Digital,SES,Slide,,35.15679333,-123.0081917,Autolevels,,
Tripod Pulse 68 Solo-1,Station M,Pulse 68,Digital,Tripod Solo,Far field,,35.146635,-122.9417817,,,
Tripod Pulse 68 Solo-2,Station M,Pulse 68,Digital,Tripod Solo,Far field,,35.146635,-122.9417817,,,
Tripod Pulse 68 Solo-3,Station M,Pulse 68,Digital,Tripod Solo,Far field,,35.146635,-122.9417817,,,
Tripod Pulse 68 Solo-4,Station M,Pulse 68,Digital,Tripod Solo,Far field,,35.146635,-122.9417817,,,
Tripod Pulse 68 Solo-5,Station M,Pulse 68,Digital,Tripod Solo,Far field,,35.146635,-122.9417817,,,
Rover Chamber Pulse 69,Station M,Pulse 69,Digital,Rover,chamber,,,,,,
Rover fluoro Pulse 69,Station M,Pulse 69,Digital,Rover,fluorescence,,,,,,
Rover Transit Pulse 69,Station M,Pulse 69,Digital,Rover,transit,,,,,,
Tripod Pulse 69-01-Solo,Station M,Pulse 69,Digital,Tripod Solo,Far field,,35.15775,-122.9368833,,,
Tripod Pulse 69-02-Solo,Station M,Pulse 69,Digital,Tripod Solo,Far field,,35.15775,-122.9368833,,,
Tripod Pulse 69-03-Solo,Station M,Pulse 69,Digital,Tripod Solo,Far field,,35.15775,-122.9368833,,,
Tripod Pulse 69-04-Solo,Station M,Pulse 69,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 70 Far Field Dual-1,Station M,Pulse 70,Digital,Tripod Dual,Far field,,35.14947,-122.9711333,,,
Tripod Pulse 70 Far Field Dual-2,Station M,Pulse 70,Digital,Tripod Dual,Far field,,35.14947,-122.9711333,,,
Tripod Pulse 70 Far Field Dual-3,Station M,Pulse 70,Digital,Tripod Dual,Far field,,35.14947,-122.9711333,,,
Tripod Pulse 70 Far Field Dual-4,Station M,Pulse 70,Digital,Tripod Dual,Far field,,35.14947,-122.9711333,,,
Tripod Pulse 70 Near Field Dual-1,Station M,Pulse 70,Digital,Tripod Dual,Near field,,35.14947,-122.9711333,,,
Tripod Pulse 70 Near Field Dual-2,Station M,Pulse 70,Digital,Tripod Dual,Near field,,35.14947,-122.9711333,,,
Tripod Pulse 70 Near Field Dual-3,Station M,Pulse 70,Digital,Tripod Dual,Near field,,35.14947,-122.9711333,,,
Tripod Pulse 70 Near Field Dual-4,Station M,Pulse 70,Digital,Tripod Dual,Near field,,35.14947,-122.9711333,,,
SES Pulse 70,Station M,Pulse 70,Digital,SES,Slide,,35.15475667,-123.0073667,,,
SES Pulse 70_Autolevels,Station M,Pulse 70,Digital,SES,Slide,,35.15475667,-123.0073667,Autolevels,,
Tripod Pulse 70 Solo-1,Station M,Pulse 70,Digital,Tripod Solo,Far field,,35.15782667,-122.9372567,,,
Tripod Pulse 70 Solo-2,Station M,Pulse 70,Digital,Tripod Solo,Far field,,35.15782667,-122.9372567,,,
Tripod Pulse 70 Solo-3,Station M,Pulse 70,Digital,Tripod Solo,Far field,,35.15782667,-122.9372567,,,
Tripod Pulse 70 Solo-4,Station M,Pulse 70,Digital,Tripod Solo,Far field,,35.15782667,-122.9372567,,,
Tripod Pulse 71  Dual Far Field-1,Station M,Pulse 71,Digital,Tripod Dual,Far field,,35.1483,-122.9705833,,,
Tripod Pulse 71  Dual Far Field-2,Station M,Pulse 71,Digital,Tripod Dual,Far field,,35.1483,-122.9705833,,,
Tripod Pulse 71  Dual Far Field-3,Station M,Pulse 71,Digital,Tripod Dual,Far field,,35.1483,-122.9705833,,,
Tripod Pulse 71  Dual Far Field-4,Station M,Pulse 71,Digital,Tripod Dual,Far field,,35.1483,-122.9705833,,,
Tripod Pulse 71  Dual Far Field-5,Station M,Pulse 71,Digital,Tripod Dual,Far field,,35.1483,-122.9705833,,,
Tripod Pulse 71  Dual Far Field-6,Station M,Pulse 71,Digital,Tripod Dual,Far field,,35.1483,-122.9705833,,,
Tripod Pulse 71  Dual Far Field-7,Station M,Pulse 71,Digital,Tripod Dual,Far field,,35.1483,-122.9705833,,,
Tripod Pulse 71 Dual Near Field-1,Station M,Pulse 71,Digital,Tripod Dual,Near field,,35.1483,-122.9705833,,,
Tripod Pulse 71 Dual Near Field-2,Station M,Pulse 71,Digital,Tripod Dual,Near field,,35.1483,-122.9705833,,,
Tripod Pulse 71 Dual Near Field-3,Station M,Pulse 71,Digital,Tripod Dual,Near field,,35.1483,-122.9705833,,,
Tripod Pulse 71 Dual Near Field-4,Station M,Pulse 71,Digital,Tripod Dual,Near field,,35.1483,-122.9705833,,,
Tripod Pulse 71 Dual Near Field-5,Station M,Pulse 71,Digital,Tripod Dual,Near field,,35.1483,-122.9705833,,,
Tripod Pulse 71 Dual Near Field-6,Station M,Pulse 71,Digital,Tripod Dual,Near field,,35.1483,-122.9705833,,,
Tripod Pulse 71 Dual Near Field-7,Station M,Pulse 71,Digital,Tripod Dual,Near field,,35.1483,-122.9705833,,,
SES Pulse 71-1,Station M,Pulse 71,Digital,SES,Slide,,35.15223333,-123.0066167,,,
SES Pulse 71-2,Station M,Pulse 71,Digital,SES,Slide,,35.15223333,-123.0066167,,,
SES Pulse 71-3,Station M,Pulse 71,Digital,SES,Slide,,35.15223333,-123.0066167,,,
Tripod Pulse 71 Solo-1,Station M,Pulse 71,Digital,Tripod Solo,Far field,,35.01557617,-122.9367667,,,
